layer_name,status,theta_min_deg,overlap,n_shared
base_model.model.bert.encoder.layer.11.attention.self.query,FAIL,73.39588776425803,0.20233476161956787,1
base_model.model.bert.encoder.layer.11.attention.self.value,FAIL,68.31102366304782,0.24524901807308197,1
base_model.model.bert.encoder.layer.11.intermediate.dense,PASS,78.05280636302112,0.07386224716901779,0
base_model.model.bert.encoder.layer.11.output.dense,FAIL,68.7440644866158,0.21933475136756897,1
base_model.model.bert.encoder.layer.2.attention.output.dense,PASS,79.82242641470138,0.09252636134624481,0
base_model.model.bert.encoder.layer.2.attention.self.key,PASS,79.39049208177894,0.09701183438301086,0
base_model.model.bert.encoder.layer.2.attention.self.query,PASS,76.30732419986768,0.14467832446098328,0
base_model.model.bert.encoder.layer.2.attention.self.value,PASS,75.44322330759103,0.12985913455486298,0
base_model.model.bert.encoder.layer.2.intermediate.dense,PASS,84.63782589277626,0.024180943146348,0
base_model.model.bert.encoder.layer.2.output.dense,PASS,79.57229805710634,0.08421437442302704,0
base_model.model.bert.encoder.layer.3.attention.output.dense,PASS,78.91921585923723,0.10989236831665039,0
base_model.model.bert.encoder.layer.3.attention.self.key,PASS,77.4112262037143,0.11801087856292725,0
base_model.model.bert.encoder.layer.3.attention.self.query,PASS,79.39323098763612,0.08119943737983704,0
base_model.model.bert.encoder.layer.3.attention.self.value,PASS,78.82286238061586,0.10323627293109894,0
base_model.model.bert.encoder.layer.3.intermediate.dense,PASS,84.30370669895757,0.02757268399000168,0
base_model.model.bert.encoder.layer.3.output.dense,PASS,79.84252083123955,0.0787399560213089,0
base_model.model.bert.encoder.layer.4.attention.output.dense,PASS,79.26926988438956,0.06987744569778442,0
base_model.model.bert.encoder.layer.4.attention.self.key,PASS,78.25305384910754,0.11340537667274475,0
base_model.model.bert.encoder.layer.4.attention.self.query,PASS,76.99836858914371,0.14668820798397064,0
base_model.model.bert.encoder.layer.4.attention.self.value,PASS,78.24211871624635,0.12687644362449646,0
base_model.model.bert.encoder.layer.4.intermediate.dense,PASS,84.03046498121121,0.024875540286302567,0
base_model.model.bert.encoder.layer.4.output.dense,PASS,77.51000439949102,0.1276870220899582,0
base_model.model.bert.encoder.layer.5.attention.output.dense,PASS,78.38384514152412,0.08385275304317474,0
base_model.model.bert.encoder.layer.5.attention.self.key,PASS,80.37202441645562,0.08102880418300629,0
base_model.model.bert.encoder.layer.5.attention.self.query,PASS,78.18801678783069,0.1271066963672638,0
base_model.model.bert.encoder.layer.5.attention.self.value,PASS,77.5923491601247,0.12896248698234558,0
base_model.model.bert.encoder.layer.5.intermediate.dense,PASS,84.70068412370789,0.022824706509709358,0
base_model.model.bert.encoder.layer.5.output.dense,PASS,78.03776628646874,0.10753011703491211,0
base_model.model.bert.encoder.layer.6.attention.output.dense,PASS,76.96313164321562,0.124697744846344,0
base_model.model.bert.encoder.layer.6.attention.self.key,PASS,77.8347867247143,0.11409653723239899,0
base_model.model.bert.encoder.layer.6.attention.self.query,PASS,76.51744130930477,0.11847133189439774,0
base_model.model.bert.encoder.layer.6.attention.self.value,PASS,77.61098874636967,0.13000378012657166,0
base_model.model.bert.encoder.layer.6.intermediate.dense,PASS,84.59141475736602,0.02090459316968918,0
base_model.model.bert.encoder.layer.6.output.dense,PASS,79.3613476645905,0.09114992618560791,0
base_model.model.bert.encoder.layer.7.attention.output.dense,PASS,77.43662084704842,0.14835502207279205,0
base_model.model.bert.encoder.layer.7.attention.self.key,PASS,79.93948219669706,0.0811648964881897,0
base_model.model.bert.encoder.layer.7.attention.self.query,PASS,77.0482084795173,0.15347792208194733,0
base_model.model.bert.encoder.layer.7.attention.self.value,PASS,79.61553315455252,0.09653549641370773,0
base_model.model.bert.encoder.layer.7.intermediate.dense,PASS,84.27795688578662,0.027439691126346588,0
base_model.model.bert.encoder.layer.7.output.dense,PASS,76.62757810967123,0.13007353246212006,0
base_model.model.bert.encoder.layer.8.attention.output.dense,FAIL,74.60196939808806,0.130490243434906,1
base_model.model.bert.encoder.layer.8.attention.self.key,PASS,76.13584547056533,0.12882518768310547,0
base_model.model.bert.encoder.layer.8.attention.self.query,PASS,76.57432312471265,0.1469539850950241,0
base_model.model.bert.encoder.layer.8.attention.self.value,PASS,78.81796513498097,0.09242323040962219,0
base_model.model.bert.encoder.layer.8.intermediate.dense,PASS,84.6905686135471,0.023783568292856216,0
base_model.model.bert.encoder.layer.8.output.dense,PASS,79.24269361832903,0.09661651402711868,0
base_model.model.bert.encoder.layer.9.attention.output.dense,PASS,78.86857683673075,0.12018521130084991,0
base_model.model.bert.encoder.layer.9.attention.self.key,FAIL,74.18452872658439,0.15559066832065582,1
base_model.model.bert.encoder.layer.9.attention.self.query,PASS,78.10937398972716,0.12299633771181107,0
base_model.model.bert.encoder.layer.9.attention.self.value,PASS,79.06945270022084,0.10534663498401642,0
base_model.model.bert.encoder.layer.9.intermediate.dense,PASS,83.8836227442451,0.02900102362036705,0
base_model.model.bert.encoder.layer.9.output.dense,PASS,79.17814833067241,0.09665779769420624,0
base_model.model.bert.pooler.dense,FAIL,65.84419839146017,0.30127814412117004,1
